x,rho_over_rhoL,lo,hi
0.0032,2.9857,2.9599,3.0287
0.0064,2.9885,2.9599,3.0172
0.0096,3.0000,2.9828,3.0172
0.0129,3.0000,2.9943,3.0057
0.0161,2.9943,2.9943,2.9943
0.0322,2.9943,2.9943,2.9943
0.0354,3.0000,2.9943,3.0057
0.0386,2.9943,2.9713,3.0172
0.0418,2.9943,2.9599,3.0287
0.0450,3.0000,2.9599,3.0401
0.0482,3.0000,2.9599,3.0401
0.0514,3.0000,2.9599,3.0401
0.0547,2.9943,2.9599,3.0287
0.0579,2.9943,2.9713,3.0172
0.0611,2.9943,2.9943,2.9943
0.0675,3.0000,2.9943,3.0057
0.0707,3.0000,2.9943,3.0057
0.0836,3.0000,2.9943,3.0057
0.0868,3.0000,2.9828,3.0172
0.0900,2.9943,2.9713,3.0172
0.0932,3.0000,2.9599,3.0401
0.0965,3.0000,2.9599,3.0401
0.0997,3.0000,2.9599,3.0401
0.1029,3.0000,2.9599,3.0401
0.1061,2.9943,2.9713,3.0172
0.1093,2.9943,2.9713,3.0172
0.1125,2.9943,2.9943,2.9943
0.1383,2.9943,2.9713,3.0172
0.1415,2.9885,2.9599,3.0172
0.1447,3.0000,2.9599,3.0401
0.1479,3.0000,2.9599,3.0401
0.1511,3.0000,2.9599,3.0401
0.1543,3.0000,2.9599,3.0401
0.1576,2.9943,2.9713,3.0172
0.1608,3.0000,2.9828,3.0172
0.1640,3.0000,2.9943,3.0057
0.1929,2.9943,2.9943,2.9943
0.2026,2.9943,2.9943,2.9943
0.2058,2.9771,2.9599,2.9943
0.2090,2.9713,2.9484,2.9943
0.2122,2.9668,2.9370,2.9943
0.2154,2.9752,2.9370,3.0057
0.2186,2.9752,2.9370,3.0057
0.2219,2.9736,2.9370,3.0057
0.2251,2.9656,2.9370,2.9943
0.2283,2.9713,2.9484,2.9943
0.2315,2.9542,2.9370,2.9713
0.2347,2.8510,2.8453,2.8567
0.2379,2.8682,2.8453,2.8911
0.2412,2.8281,2.7994,2.8567
0.2444,2.8052,2.7994,2.8109
0.2476,2.7765,2.7536,2.7994
0.2508,2.7593,2.7536,2.7650
0.2540,2.7077,2.7077,2.7077
0.2572,2.7135,2.7077,2.7192
0.2605,2.6046,2.5702,2.6734
0.2637,2.5980,2.5473,2.6734
0.2669,2.6103,2.5931,2.6275
0.2701,2.5960,2.5358,2.6275
0.2733,2.5862,2.5358,2.6160
0.2765,2.5817,2.5358,2.6160
0.2797,2.5702,2.5358,2.6046
0.2830,2.5759,2.5473,2.6046
0.2990,2.2894,2.2722,2.3066
0.3023,2.2894,2.2607,2.3181
0.3055,2.2894,2.2493,2.3295
0.3087,2.2894,2.2493,2.3295
0.3119,2.2894,2.2493,2.3295
0.3151,2.2928,2.2607,2.3295
0.3183,2.2722,2.2264,2.3181
0.3215,2.2703,2.2264,2.3066
0.3248,2.1862,2.1805,2.1920
0.3280,2.1862,2.1805,2.1920
0.3312,2.1461,2.1461,2.1461
0.3344,2.1404,2.1347,2.1461
0.3376,2.1003,2.1003,2.1003
0.3408,2.0172,1.9971,2.0430
0.3441,2.0102,1.9742,2.0544
0.3473,2.0143,1.9742,2.0544
0.3505,2.0048,1.9628,2.0430
0.3537,1.9971,1.9628,2.0315
0.3569,1.9926,1.9628,2.0315
0.3601,1.9971,1.9628,2.0315
0.3633,1.9939,1.9398,2.0315
0.3666,1.9656,1.9284,2.0086
0.3698,1.9341,1.9284,1.9398
0.3730,1.9570,1.9513,1.9628
0.3762,1.9570,1.9513,1.9628
0.3794,1.9857,1.9628,2.0086
0.3859,1.9857,1.9857,1.9857
0.3891,1.9857,1.9628,2.0086
0.3923,1.9799,1.9513,2.0086
0.3955,1.9914,1.9513,2.0315
0.3987,1.9914,1.9513,2.0315
0.4019,1.9914,1.9513,2.0315
0.4051,1.9570,1.9513,1.9628
0.4084,1.9857,1.9628,2.0086
0.4116,1.9914,1.9857,1.9971
0.4148,1.9971,1.9857,2.0086
0.4277,2.0086,2.0086,2.0086
0.4309,1.9971,1.9857,2.0086
0.4341,1.9971,1.9857,2.0086
0.4373,1.9914,1.9742,2.0086
0.4405,1.9914,1.9628,2.0201
0.4437,1.9948,1.9513,2.0315
0.4469,1.9914,1.9513,2.0315
0.4502,1.9914,1.9513,2.0315
0.4534,1.9914,1.9513,2.0315
0.4566,1.9914,1.9628,2.0201
0.4598,1.9914,1.9742,2.0086
0.4630,1.9857,1.9857,1.9857
0.4662,1.9971,1.9857,2.0086
0.4695,2.0029,1.9971,2.0086
0.4791,2.0029,1.9971,2.0086
0.4823,1.9971,1.9857,2.0086
0.4855,1.9971,1.9857,2.0086
0.4887,1.9857,1.9628,2.0086
0.4920,2.0040,1.9628,2.0315
0.4952,1.9914,1.9513,2.0315
0.4984,1.9914,1.9513,2.0315
0.5016,1.9914,1.9513,2.0315
0.5048,1.9857,1.9628,2.0086
0.5080,1.9857,1.9628,2.0086
0.5113,1.9857,1.9857,1.9857
0.5338,1.9914,1.9857,1.9971
0.5370,1.9914,1.9742,2.0086
0.5402,1.9857,1.9628,2.0086
0.5434,1.9914,1.9513,2.0315
0.5466,1.9914,1.9513,2.0315
0.5498,1.9914,1.9513,2.0315
0.5531,1.9948,1.9513,2.0315
0.5563,1.9857,1.9628,2.0086
0.5595,1.9914,1.9742,2.0086
0.5627,1.9971,1.9857,2.0086
0.5659,2.0086,2.0086,2.0086
0.5756,2.0029,1.9971,2.0086
0.5788,2.0086,2.0086,2.0086
0.5852,1.9971,1.9857,2.0086
0.5884,1.9857,1.9628,2.0086
0.5916,1.9857,1.9513,2.0201
0.5949,1.9857,1.9398,2.0315
0.5981,1.9840,1.9398,2.0315
0.6013,1.9719,1.9169,2.0315
0.6045,1.9653,1.9169,2.0201
0.6077,1.7064,1.4470,2.0086
0.6109,1.6734,1.4470,1.9971
0.6141,1.4842,1.4355,1.5272
0.6174,1.4765,1.4355,1.5158
0.6206,1.4653,1.4355,1.5043
0.6238,1.4676,1.4355,1.5043
0.6270,1.4756,1.4470,1.5043
0.6302,1.4756,1.4585,1.4928
0.6399,1.4527,1.4470,1.4585
0.6431,1.4585,1.4585,1.4585
0.6527,1.4585,1.4585,1.4585
0.6559,1.4527,1.4470,1.4585
0.6592,1.4527,1.4470,1.4585
0.6624,1.4527,1.4355,1.4699
0.6656,1.4585,1.4241,1.4928
0.6688,1.4585,1.4241,1.4928
0.6720,1.4642,1.4241,1.5043
0.6752,1.4737,1.4241,1.5043
0.6785,1.4585,1.4241,1.4928
0.6817,1.4527,1.4241,1.4814
0.6849,1.4470,1.4355,1.4585
0.7074,1.4642,1.4585,1.4699
0.7106,1.4642,1.4470,1.4814
0.7138,1.4585,1.4355,1.4814
0.7170,1.4585,1.4241,1.4928
0.7203,1.4539,1.4126,1.5043
0.7235,1.4737,1.4241,1.5043
0.7267,1.4508,1.4241,1.4928
0.7299,1.4527,1.4241,1.4814
0.7331,1.4585,1.4355,1.4814
0.7363,1.4585,1.4470,1.4699
0.7621,1.4585,1.4355,1.4814
0.7653,1.4527,1.4241,1.4814
0.7685,1.4508,1.4241,1.4928
0.7717,1.4737,1.4241,1.5043
0.7749,1.4676,1.4241,1.5043
0.7781,1.4585,1.4241,1.4928
0.7814,1.4527,1.4241,1.4814
0.7846,1.4585,1.4355,1.4814
0.7878,1.4585,1.4470,1.4699
0.7910,1.4585,1.4585,1.4585
0.8039,1.4585,1.4585,1.4585
0.8103,1.4527,1.4470,1.4585
0.8135,1.4527,1.4241,1.4814
0.8167,1.4527,1.4241,1.4814
0.8199,1.4642,1.4241,1.5043
0.8232,1.4986,1.4928,1.5043
0.8264,1.4676,1.4241,1.5043
0.8296,1.4607,1.4241,1.4928
0.8328,1.4585,1.4355,1.4814
0.8360,1.4585,1.4470,1.4699
0.8392,1.0688,1.0458,1.0917
0.8424,1.1592,1.0344,1.4814
0.8457,1.2942,1.0344,1.4814
0.8489,1.1310,0.9771,1.3897
0.8521,1.0241,0.9656,1.1032
0.8553,1.0344,0.9656,1.1146
0.8585,1.0413,0.9656,1.1032
0.8617,1.0344,0.9656,1.0917
0.8650,0.9924,0.9656,1.0344
0.8682,1.0000,0.9656,1.0344
0.8714,1.0000,0.9771,1.0229
0.8746,1.0000,0.9885,1.0115
0.8778,1.0115,1.0115,1.0115
0.8939,1.0115,1.0115,1.0115
0.8971,1.0057,1.0000,1.0115
0.9003,0.9943,0.9771,1.0115
0.9035,0.9713,0.9656,0.9771
0.9068,1.0057,0.9656,1.0458
0.9100,1.0153,0.9656,1.0458
0.9132,1.0057,0.9656,1.0458
0.9164,0.9943,0.9656,1.0229
0.9196,1.0000,0.9771,1.0229
0.9293,1.0000,0.9885,1.0115
0.9325,1.0115,1.0115,1.0115
0.9421,1.0000,0.9885,1.0115
0.9453,1.0000,0.9771,1.0229
0.9486,0.9713,0.9656,0.9771
0.9518,1.0057,0.9656,1.0458
0.9550,1.0057,0.9656,1.0458
0.9582,1.0038,0.9656,1.0458
0.9614,0.9931,0.9656,1.0229
0.9646,1.0000,0.9771,1.0229
0.9678,1.0000,0.9885,1.0115
0.9711,1.0057,1.0000,1.0115
0.9839,1.0057,1.0000,1.0115
0.9871,1.0000,0.9771,1.0229
0.9904,0.9943,0.9656,1.0229
0.9936,1.0057,0.9656,1.0458
0.9968,1.0153,0.9656,1.0458
